Unnamed: 0,RN (alteragao),Unnamed: 2,Unnamed: 3,e,o,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,PROCEDIMENTO,VIGENCIA,Unnamed: 4,Unnamed: 5,AMB,HCO,T,o],| o,oo,0,VIGENCIA (alteragao),=,I,Unnamed: 10,PROCEDIMENTO (alteragao),Unnamed: 1,==,=.1,PROCEDIMENT!,RN VIGENCIA (alteragao),(alteragao),AMB HCO,] o =,[,],RN (alteragao) i,o.1,AMB o,e o,PAC,T.1,HCO 0,i,3,RN (alteragao) 0,AMB e,CAPITULO,S,N,LN3NIG300d,(oeesaye) NY,VIONIOIA,anv,OH,|,m |,OH o,vd
CONSULTA MEDICA,,,,AMB,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA ODONTOLOGICA,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA ODONTOLOGICA INICIAL,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA ODONTOLOGICA DE URGENCIA,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA ODONTOLOGICA PARA AVALIACAO TECNICA DE AUDITORIA,,,oD,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSULTA/AVALIACAO COM PSICOLOGO,541/2022,01/08/2022,,AMB,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541/2022,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,SESSAO COM PSICOLOGO,01/08/2022,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541/2022,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,CONSULTA/AVALIACAO COM FONOAUDIOLOGO,01/08/2022,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541/2022,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,SESSAO COM FONOAUDIOLOGO,01/08/2022,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,103,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,CONSULTA COM NUTRICIONISTA (COM DIRETRIZ DE UTILIZAGAO),,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541/2022,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,CONSULTA/AVALIACAO COM TERAPEUTA OCUPACIONAL,01/08/2022,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,541/2022,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,SESSAO COM TERAPEUTA OCUPACIONAL,01/08/2022,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,"TRANSPORTE EXTRA-HOSPITALAR DE PACIENTES GRAVES COM ACOMPANHAMENTO MEDICO, DO ESTABELECIMENTO HOSPITALAR DE ORIGEM PARA OUTRO ESTABELECIMENTO DE SAUDE",,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"CONSULTAS, VISITAS HOSPITALARES OU ACOMPANHAMENTO DE PACIENTES",PROCEDIMENTOS GERAIS,PROCEDIMENTOS GERAIS,VISITA HOSPITALAR,,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE CORNEA,,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE MEDULA OSSEA,,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,546/2022,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE HEPATICO,03/10/2022,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE RENAL,,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,546/2022,,,,,PAC,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ACOMPANHAMENTO CLINICO DE TRANSPLANTE HEPATICO NO PERIODO DE INTERNACAO DO RECEPTOR E DO DOADOR,03/10/2022,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PAC,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ACOMPANHAMENTO CLINICO DE TRANSPLANTE RENAL NO PERIODO DE INTERNAGAO DO RECEPTOR E DO DOADOR,,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,AVALIACAO CLINICA DIARIA ENTERAL E/OU PARENTERAL,,HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,"AVALIACAO CLINICA E ELETRONICA DE PACIENTE PORTADOR DE DISPOSITIVO CARDIACO ELETRONICO IMPLANTAVEL (MARCA-PASSO, ESTIMULADOR MULTISSITIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS)",,AMB HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,CARDIOVERSAOQ ELETRICA COM ELETROCARDIOGRAMA,,AMB HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,oD,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,CONTROLE DE BIOFILME DENTAL (PLACA BACTERIANA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,"FORNECIMENTO DE EQUIPAMENTOS COLETORES E ADJUVANTES PARA COLOSTOMIA, ILEOSTOMIA E UROSTOMIA, SONDA VESICAL DE DEMORA E COLETOR DE URINA (COM PROTOCOLO DE UTILIZACAO - PROUT)",,AMB HCO,HSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,oD,,,,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROFILAXIA: POLIMENTO CORONARIO,,,,,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,64.0,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,TERAPIA ANTINEOPLASICA ORAL PARA TRATAMENTO DO CANCER (COM DIRETRIZ DE UTILIZAGAO,,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,536/2022,,,,,REF,,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,TESTE DE PROVOCAGAO ORAL COM ALIMENTOS (COM DIRETRIZ DE UTILIZAGAO),06/05/2022,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,54.0,AVALIACOES/ACOMPANHAMENTOS,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,MEDICAMENTOS PARA O CONTROLE DE EFEITOS ADVERSOS E ADJ UVANTES RELACIONADOS A TRATAMENTOS ANTINEOPLASICOS (COM DIRETRIZ DE UTILIZAGAO),,,,AMB,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,CARDIOTOCOGRAFIA,,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,HOLTER DE 24 HORAS -2 OU MAIS CANAIS - ANALOGICO OU DIGITAL,,,,AMB,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,56.0,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,MONITORIZAGAO AMBULATORIAL DA PRESSAO ARTERIAL - MAPA (24 HORAS) - COM DIRETRIZ DE UTILIZAGAO,,,,AMB,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,581/2023,,,,,REF,162.0,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL DE 5 DIAS - MAPA 5 DIAS (MONITORIZACAO RESIDENCIAL DA PRESSAO ARTERIAL - MRPA) - COM DIRETRIZ DE UTILIZAGAO,12/072023,,,AMB,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,MONITORIZAGCAO DA PRESSAO INTRACRANIANA,,,,,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,MONITORIZAGAO HEMODINAMICA INVASIVA OU NAO INVASIVA,,,,,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,MONITORIZAGAO NEUROFISIOLOGICA INTRA-OPERATORIA,,,,,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,POTENCIAL EVOCADO INTRA-OPERATORIO - MONITORIZAGAO CIRURGICA (PE/IO),,,,,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,67.0,MONITORIZAGOES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,TESTE DE INCLINAGAO ORTOSTATICA (TILT TEST) - COM DIRETRIZ DE UTILIZAGAO,,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,ADAPTAGAO E TREINAMENTO DE RECURSOS OPTICOS,,,,AMB,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,AMPUTACAO (PREPARAGCAO DO COTO E TREINAMENTO PROTETICO),,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,BIOFEEDBACK COM EMG,,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,EXERCICIOS DE ORTOPTICA,,,,AMB,,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,INFILTRACAO DE PONTO GATILHO OU AGULHAMENTO SECO,,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REF,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REABILITACAO E REEDUCACAO DE SEQUELAS EM TRAUMATISMOS E POLITRAUMATIZADOS,,,,AMB,HCO HSO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REABILITAGAO LABIRINTICA,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REABILITAGAO PERINEAL/VESICO-URETRAL COM OU SEM BIOFEEDBACK,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUACAGAO E REABILITACAO DE QUEIMADOS PARA PREVENGAO DE SEQUELAS,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO CARDIOVASCULAR,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO DO SISTEMA LINFATICO E/OU VASCULAR PERIFERICO,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCACAO E REABILITACAO DO SISTEMA MUSCULO-ESQUELETICO POR DISTURBIOS CONGENITOS OU REUMATICOS,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO NEUROLOGICA,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO NEURO-MUSCULO-ESQUELETICA,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO NO RETARDO DO DESENVOLVIMENTO PSICOMOTOR,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO RESPIRATORIA,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E REABILITACAO TRAUMATO-ORTOPEDICA (EXCLUI TECNICAS CINESIOTERAPICAS ESPECIFICAS),,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,REABILITACAO,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,PROCEDIMENTOS CLINICOS AMBULATORIAIS E HOSPITALARES,REEDUCAGAO E/OU REABILITAGAO DE DISTURBIOS CRANIO-FACIAIS,,HCO,HSO,AMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
